Weather_Condition,Air_Traffic_Congestion,Technical_Issues,Airport_Operations,Security_Conditions,Late_Arrivals,Delay
88,16,37,54,71,65,0.398607407
61,69,50,90,17,59,3.726735168
96,70,31,6,54,29,1.587291231
0,45,68,19,92,32,0.636939154
26,78,81,42,0,62,4.540147991
61,69,49,62,58,12,19.85827301
76,31,20,66,12,67,10.27090923
2,59,17,27,38,44,10.32381296
69,41,50,98,100,41,0.578715667
71,39,64,37,76,49,1.221552113
26,26,12,88,7,57,9.16265803
8,4,75,92,49,16,5.709089444
61,60,89,33,28,51,0.785574767
36,60,35,29,17,26,3.291487646
96,79,61,74,81,22,0.243057339
50,51,83,37,87,24,0.260123078
43,74,78,24,0,11,1.781388779
23,88,57,29,58,75,3.906053216
78,65,57,95,8,47,1.901668187
58,91,0,42,22,1,1.357126512
31,6,76,53,63,79,5.153419578
95,37,88,36,38,18,0.714464095
87,50,10,10,28,90,21.93463133
51,0,48,48,35,53,0.519368008
61,81,26,9,98,77,3.483141536
57,75,80,51,42,84,1.049587726
51,48,85,72,18,65,2.995153761
11,71,55,9,96,27,2.615546757
38,19,28,33,13,15,2.774379119
1,98,75,59,9,45,4.457583255
2,41,38,19,40,44,1.276798029
100,15,60,4,82,28,1.198171092
55,32,43,66,65,71,17.82969362
80,88,73,24,58,91,0.564587051
58,82,31,83,58,63,2.210435191
1,98,11,13,25,45,13.52431508
1,15,65,0,83,96,0.226764726
91,15,47,71,55,98,3.134668771
53,47,65,18,61,88,1.740185625
86,88,18,78,35,68,3.021562532
100,95,53,53,54,53,0.812644952
95,54,35,66,19,60,5.005517329
96,27,69,67,55,46,5.799325833
0,72,14,61,60,97,1.694452708
18,81,5,98,75,45,19.56617149
1,22,42,85,2,73,1.079498345
52,29,1,19,85,62,2.645413709
43,60,56,64,44,38,2.434386666
89,95,39,77,32,55,4.861731766
31,87,76,65,98,26,2.877592418
69,74,85,48,97,95,3.109602975
31,25,12,94,1,89,1.079875065
67,10,59,27,84,55,17.7575329
54,19,77,63,65,80,8.61878519
74,43,55,21,96,51,6.214966257
55,17,41,51,96,89,5.314743408
16,33,53,8,28,39,3.760052629
37,99,13,50,32,57,13.20864784
23,3,80,84,9,35,1.316677281
68,84,45,73,19,84,9.40926673
97,89,83,97,19,5,7.051787076
69,13,2,22,33,71,0.833657085
85,89,56,91,79,83,0.871136118
10,12,26,25,96,60,5.625242317
15,89,68,4,31,53,4.984745661
96,40,52,15,39,52,17.58912699
72,78,26,11,73,91,3.241448228
58,90,36,66,0,98,2.151885776
69,56,88,55,61,51,5.937779106
79,86,5,58,34,15,4.828449822
92,21,65,26,49,27,1.136326732
2,9,100,65,95,47,2.533583692
19,68,39,49,26,96,1.308693602
58,67,78,84,79,69,10.67476582
35,49,73,37,20,68,5.273039422
18,99,85,58,99,65,2.329433067
89,15,73,4,8,76,6.507533644
66,95,50,76,43,89,7.561892339
18,10,35,63,95,30,1.428180364
19,96,29,28,63,56,5.13345302
95,98,85,98,79,31,1.994816957
70,67,1,66,79,1,1.92542713
51,86,97,43,58,63,2.81327112
32,66,27,98,95,6,0.992632531
39,19,67,2,26,31,3.540778018
38,64,59,73,29,28,2.309266124
81,32,50,68,2,66,2.565485653
0,9,20,59,31,60,6.582702145
10,66,80,9,88,57,3.611609743
91,54,40,87,21,53,1.266982798
56,31,83,91,52,60,8.873786776
88,44,59,49,90,67,2.111387495
49,58,53,10,95,37,5.346135776
22,30,43,98,76,33,0.426978234
30,84,95,48,14,88,1.737232704
93,87,42,27,61,67,0.370047832
41,87,72,53,74,55,3.489538262
98,51,48,27,31,44,0.566745112
6,9,2,84,90,24,6.757257806
15,5,96,78,57,53,6.594770775
89,91,43,59,78,77,2.407555336
59,0,38,48,18,12,1.536996761
1,45,63,13,49,3,2.896046056
0,73,99,67,49,17,7.359242436
47,29,77,6,48,12,5.452254651
11,78,70,2,9,92,0.338485538
68,77,43,26,87,63,1.51167804
36,62,41,26,13,68,2.088092006
31,87,27,19,86,73,9.991063285
8,62,78,15,77,59,17.9066388
98,73,55,45,59,90,3.027927975
18,89,49,65,38,79,6.495249342
47,0,93,50,20,44,1.012120671
79,19,26,6,44,65,3.378174508
2,28,2,63,8,19,0.438626907
19,33,73,39,77,78,1.897438633
23,65,80,71,9,23,2.147099025
53,65,60,10,99,52,1.147803205
32,1,85,74,55,58,0.882166662
23,71,16,68,17,43,7.245575732
74,53,56,83,51,9,7.127506508
71,88,92,60,6,28,0.835836419
35,17,44,28,44,43,1.121226972
37,80,35,39,41,32,0.994688459
83,29,29,16,7,30,8.948540177
98,7,95,6,1,57,4.195769852
88,41,23,59,50,70,0.951666973
98,28,1,53,25,98,1.569093574
24,50,47,37,18,52,2.047315573
92,82,6,100,76,69,0.84961298
17,100,75,28,95,35,1.2565478
81,23,62,18,54,94,2.885028178
65,81,83,8,77,87,2.857246497
53,9,53,18,88,96,1.095746235
34,15,67,64,95,31,3.712235756
79,49,52,74,9,86,2.03024028
60,40,65,19,100,100,6.125182985
40,53,37,44,40,49,3.346113761
99,43,29,48,98,23,2.360928537
32,59,3,70,98,23,1.552551562
67,68,19,20,19,61,1.427501088
32,78,88,67,38,49,2.646188175
13,22,57,99,65,88,0.679458691
20,94,36,12,18,71,7.180852896
47,93,93,4,76,50,2.867468242
19,70,98,79,77,2,2.327708364
7,19,73,70,2,85,2.965612664
6,38,12,39,52,97,2.234222274
66,2,3,42,88,53,2.729530601
16,2,21,51,56,81,1.1801047
32,30,74,46,35,29,8.186146695
47,6,36,27,69,28,11.83204699
75,0,13,56,11,48,2.70060986
58,55,9,29,85,9,17.0876385
85,26,23,64,82,75,0.838250456
21,64,30,91,43,6,0.948912681
29,69,28,46,54,78,2.185912383
37,83,56,42,63,13,2.324161585
50,38,82,69,91,44,2.375225956
53,2,58,3,96,48,1.46217577
7,58,1,4,23,99,9.575884904
26,1,24,15,0,30,4.371719662
26,46,21,96,58,77,0.959199127
97,95,0,46,11,61,3.570284299
20,19,7,97,14,71,4.482036227
29,99,40,55,86,74,2.933739576
96,26,65,7,5,78,4.224289617
27,83,99,100,87,21,1.272741799
63,18,8,17,76,97,2.760767155
96,54,52,94,18,1,9.886259995
68,62,27,99,52,77,0.382893611
60,84,6,1,31,13,6.164875484
47,42,62,22,47,6,5.206569607
18,83,77,71,1,83,5.410274433
3,4,81,69,84,78,12.73959233
34,19,31,72,6,33,6.683197573
63,75,0,91,31,73,0.409926193
48,60,22,32,9,61,10.87471396
16,61,10,71,72,15,3.081444917
43,73,95,4,45,16,1.821120882
91,62,54,32,97,81,6.686546182
29,21,23,88,93,49,12.23468385
92,37,56,33,65,8,24
45,91,68,59,59,42,8.0607552
5,11,98,0,75,64,17.15520764
98,73,61,40,43,51,2.731132387
36,60,84,32,2,45,1.078951693
23,98,83,46,40,45,0.75059803
92,47,93,38,81,60,7.056039406
45,100,85,32,94,30,1.713905681
52,16,73,98,14,47,5.59693679
94,90,69,0,78,10,0.599865998
98,51,76,80,56,24,17.04612912
59,45,57,47,46,94,3.374743627
96,55,99,10,34,13,1.05731039
62,28,11,32,44,48,2.121969163
84,89,70,98,85,99,3.740061449
31,72,82,55,8,16,15.123837
86,50,85,42,99,74,6.057762885
32,75,4,54,44,19,0.465474549
66,25,65,7,34,62,4.099304662
17,96,74,12,94,44,7.181757334
24,95,4,26,13,70,3.270958837
94,74,43,80,34,22,3.712037214
53,28,4,69,9,90,0.173114849
57,58,71,9,1,39,4.358431897
66,7,66,95,71,2,9.427854956
45,24,76,67,54,65,3.080694706
23,83,18,12,51,52,11.90851679
31,20,1,75,51,20,7.524759155
46,3,1,1,93,80,0.814181155
85,35,33,98,44,92,2.615037867
22,42,99,90,11,82,1.384674942
65,92,78,96,19,100,2.420186508
26,82,4,44,79,44,2.013551702
1,25,61,94,5,49,7.547859243
89,35,96,27,51,88,3.171830427
16,88,9,24,72,42,0.389155083
32,22,91,3,68,82,4.227260347
8,91,1,87,10,12,10.66841544
42,40,49,58,22,68,1.364902086
47,74,75,39,78,28,2.191319587
38,92,5,48,99,48,0.967109716
92,43,31,24,87,28,12.56981983
41,49,3,49,97,16,6.45329245
25,83,73,11,21,23,5.326166534
98,8,22,70,8,30,1.749399913
49,87,4,20,88,68,2.15886164
24,46,9,18,91,65,7.181270037
23,40,13,85,75,41,6.911676437
12,12,68,0,83,99,7.231307307
59,57,68,38,66,88,9.546172117
6,65,40,31,62,89,11.89237286
56,80,57,10,76,69,2.715267754
35,57,99,0,36,0,0.291847224
44,90,53,76,64,0,4.048442155
19,65,45,83,34,18,3.973830023
64,32,73,94,26,31,2.516961733
7,68,52,4,2,58,0.70832236
15,77,33,24,79,53,1.592304465
13,26,77,47,72,55,3.400748697
75,49,34,33,35,39,10.31884088
86,58,87,42,25,96,13.29774095
14,99,91,63,13,3,1.213952124
91,90,27,15,50,75,1.635312323
97,77,19,62,65,73,6.693947285
65,78,68,86,50,9,8.007676954
31,26,55,63,17,87,1.443436755
86,58,55,16,68,31,1.328655089
62,55,68,58,29,94,4.264795294
85,71,34,74,22,52,4.245272999
50,84,7,39,35,34,17.51605554
24,33,93,74,6,38,3.592757371
57,48,100,0,15,54,5.665493116
62,91,93,1,89,46,9.257417217
61,87,32,96,99,70,1.862941492
21,16,29,77,29,6,2.507684627
57,69,32,31,87,23,0.778721357
57,37,61,61,71,91,2.051314729
85,82,59,57,48,6,2.59129322
48,0,22,49,77,43,3.191464347
51,37,90,36,79,3,2.748448526
41,25,98,28,28,13,1.845033241
69,68,55,79,6,88,0.605425122
14,67,42,94,37,63,2.82208213
53,24,10,7,69,0,1.25235846
59,57,19,64,68,68,2.114609157
100,44,70,51,53,89,3.677389523
96,21,69,90,84,87,1.738390775
7,47,92,77,36,58,0.87156086
52,12,60,29,4,81,2.989543825
59,86,32,55,78,82,4.893011667
4,96,7,18,59,45,1.83410298
67,24,60,15,28,46,1.762879601
5,9,87,62,47,16,2.507139667
95,17,21,70,37,3,2.211770187
93,54,55,4,48,92,12.47948945
46,26,85,74,44,36,0.667297502
98,55,47,70,51,0,2.470485848
54,55,20,19,48,5,1.489095462
39,48,20,59,7,80,0.933262816
51,25,60,90,67,90,1.616649398
15,1,53,29,68,45,1.385613205
12,73,58,30,31,32,0.396470548
29,59,5,22,18,17,2.660744664
18,83,24,15,24,71,18.92873828
16,37,31,58,90,36,2.057554392
62,2,60,60,91,35,0.849412754
18,73,34,95,4,95,2.600651975
91,91,61,35,90,8,0.732486991
57,82,72,87,44,31,10.5387417
54,80,24,98,34,37,1.891395447
89,52,88,48,79,20,3.034000131
100,43,48,38,12,65,2.259364824
89,22,7,12,9,71,1.030502441
61,27,42,66,97,14,8.489578196
22,90,38,63,58,50,8.738661282
8,31,33,94,98,13,4.345062181
11,75,28,37,56,76,5.932392495
0,19,42,21,17,17,1.39930321
57,5,59,39,23,78,5.593926298
0,2,45,16,10,95,5.279545247
33,2,45,93,32,31,2.701434297
95,22,65,46,59,42,8.313790611
47,72,54,97,60,38,0.333526063
88,32,62,17,60,14,1.934646909
0,35,83,43,55,34,1.59838721
15,63,86,38,82,44,1.985821274
60,11,30,20,57,7,2.622172438
63,61,43,31,26,38,4.433236675
62,25,26,31,59,90,1.988642752
68,36,20,1,69,93,3.048031908
21,47,59,32,58,40,8.840545591
92,73,67,21,36,61,2.154696113
66,43,43,33,8,40,2.824672144
75,10,40,71,25,38,4.160979305
25,82,79,32,42,51,2.865799893
15,68,45,4,12,85,1.835467036
50,23,48,54,88,63,5.618053749
100,98,8,33,86,26,9.043573441
85,91,37,99,86,73,8.925360757
56,93,94,36,88,42,4.575437585
28,18,86,44,51,95,0.870180703
77,69,75,54,86,61,2.016624823
91,55,1,45,7,8,16.21147574
68,48,92,100,46,95,1.001877124
46,82,18,4,84,69,5.254302236
93,56,13,41,82,33,1.246409448
61,94,63,68,45,19,1.060940587
68,10,53,22,33,33,14.86526132
75,62,22,20,87,85,5.869983218
15,80,4,74,89,98,2.134735028
89,16,27,28,100,1,24
89,14,50,45,82,66,1.54522149
47,69,83,67,15,6,3.102032348
84,61,9,43,60,3,0.778317111
38,31,10,20,8,47,8.2395823
99,39,75,22,66,23,4.747903005
32,10,70,54,77,23,3.294724102
93,12,23,95,40,58,3.268994182
100,80,68,59,55,21,24
22,27,44,72,6,99,5.451165247
9,81,86,57,24,31,5.91613873
68,27,86,37,80,32,1.314876654
99,47,7,38,45,38,0.968146963
33,54,33,3,20,35,1.73682733
51,15,33,23,63,85,12.18208351
94,35,49,96,88,76,24
9,39,45,73,31,39,0.343078421
18,19,1,63,93,28,4.715420861
57,90,41,40,26,81,24
95,96,65,23,36,49,18.22223125
0,1,60,87,67,62,1.576936681
68,76,1,58,70,66,1.263432972
3,1,30,35,31,39,1.31446135
15,100,46,69,51,46,0.880144986
23,68,99,12,28,9,0.370088004
79,69,60,20,69,25,1.74596092
1,49,7,70,55,60,1.083191759
91,95,51,85,64,55,0.826593158
31,47,71,31,95,20,8.498636871
90,23,97,50,31,50,1.732532043
83,80,20,41,98,78,2.152203075
23,8,42,71,100,48,1.953046826
11,39,14,52,89,32,1.666647854
49,39,57,27,59,95,5.995034432
34,1,83,84,100,32,4.349915681
32,72,68,9,97,65,2.991536885
32,5,12,6,30,69,1.457878298
60,18,15,11,48,84,2.832746131
50,96,37,87,84,79,1.980832394
42,18,2,38,73,11,1.902235871
100,32,64,78,28,22,8.371505963
11,60,58,39,97,11,5.786252702
66,29,46,45,42,77,1.447275336
64,61,69,6,8,10,1.566375021
32,12,38,36,24,71,4.282874101
39,17,50,58,58,70,3.158928078
73,1,49,39,94,10,0.874475781
42,2,90,7,35,29,3.826567235
43,5,0,6,6,55,0.977803623
28,27,23,74,50,74,4.922809693
12,76,12,17,99,72,1.116354301
11,83,29,49,46,73,0.785900127
94,31,85,41,53,43,0.753192731
45,59,51,51,70,80,0.542693587
1,30,0,23,90,26,1.683076928
34,60,28,28,3,47,1.432214375
86,8,89,65,72,18,3.329259595
80,66,71,4,95,61,4.400416152
89,53,100,65,26,44,1.483659758
7,94,86,29,52,76,2.15010433
92,78,86,44,25,87,10.68629212
25,67,33,44,76,60,2.085600162
73,16,61,3,55,51,1.218266118
89,58,65,35,53,62,2.906273746
33,30,100,37,63,97,1.758025574
6,92,17,34,38,8,1.867246124
67,74,61,55,79,5,15.80779312
57,60,60,69,27,13,9.594886964
74,95,18,69,29,73,17.44628717
28,39,51,93,45,40,3.145657333
35,2,45,20,60,57,4.960068962
88,49,76,53,28,38,3.951181736
20,0,92,62,83,73,4.04125828
35,7,65,87,80,49,4.796872174
9,61,7,47,81,33,10.33649007
100,63,83,39,74,90,0.472048671
72,40,9,38,93,87,1.241815322
23,16,87,97,51,97,11.41616198
63,71,23,38,23,68,4.175655511
98,42,26,10,71,9,5.274965834
48,96,19,2,80,3,1.839586467
98,89,82,28,51,56,4.841700439
35,1,18,96,10,50,4.541684723
81,46,58,14,24,3,11.29453422
95,59,18,10,44,80,6.214772688
23,48,2,47,58,98,1.610731683
22,92,57,46,47,32,1.217578277
61,14,64,67,53,34,1.57583405
95,93,95,100,100,33,4.126806605
36,49,36,22,63,33,1.846473625
11,45,93,71,62,85,3.14757334
54,75,38,92,93,43,2.869534604
12,1,36,24,73,43,5.994239687
22,84,23,44,28,64,1.875852103
88,28,22,39,48,37,5.856216301
98,28,73,69,100,11,1.544306114
29,79,25,21,45,20,1.432750704
16,94,79,50,40,37,6.711545863
61,60,0,95,48,9,4.301792897
83,96,6,21,86,73,1.066990322
88,65,12,2,85,38,1.159894723
85,43,52,64,61,76,0.473285179
12,3,60,43,43,9,1.625455763
58,38,35,11,97,81,10.65514254
18,59,20,93,14,4,1.683106383
48,48,19,76,72,36,7.327508709
99,4,19,60,56,77,1.322144562
11,65,73,32,11,26,2.953977341
60,44,63,39,46,58,4.206556432
18,59,0,72,82,14,1.574019283
75,7,43,61,88,97,2.896334844
8,49,90,43,4,92,5.512427392
70,35,62,61,99,83,0.535593189
27,69,32,36,78,13,5.629461939
77,40,77,27,36,75,0.598864671
94,9,18,18,41,63,11.40865819
51,35,90,34,27,0,3.696617801
82,67,40,24,62,28,3.283527239
15,13,52,31,48,94,2.042204189
68,75,23,96,30,39,2.179406301
98,16,74,70,68,16,3.773139671
11,20,54,17,88,96,8.995840579
24,76,94,60,73,59,2.01928226
51,96,75,40,36,56,16.84905823
84,53,52,39,46,8,1.41241707
99,12,89,58,66,96,4.607514972
52,47,84,53,79,79,4.252372224
22,44,97,13,53,95,24
15,8,37,12,11,72,2.872494616
56,54,36,90,90,6,3.53928523
38,49,2,29,1,58,1.688803298
52,19,88,53,26,100,0.947856461
41,39,46,49,31,27,12.77587566
57,0,5,93,39,70,0.294696123
38,76,44,85,71,97,2.958517325
13,85,86,91,97,69,1.163041037
94,76,38,8,20,94,2.203745919
4,63,71,23,32,1,0.381745568
34,34,4,26,27,44,3.957356246
86,64,99,69,8,71,0.701272162
92,52,82,3,77,22,3.74124705
74,96,89,83,20,24,1.984024787
17,60,100,3,39,54,2.038272032
75,4,81,2,11,25,9.952465175
8,93,8,70,42,88,8.960097794
73,68,31,100,3,82,1.120805585
57,88,22,28,33,18,2.995047148
16,59,38,79,80,70,14.14584088
6,89,79,40,34,5,1.135220124
45,18,65,11,96,20,0.866990743
12,75,6,44,24,89,1.511385153
39,56,51,55,75,67,4.303873651
41,7,69,31,69,39,1.14004607
8,73,25,27,45,84,2.125401
49,17,3,97,53,90,1.040062697
26,10,51,83,3,43,1.885385932
65,61,93,33,82,4,3.082423077
4,29,92,57,16,56,2.479235719
28,4,37,4,22,2,4.777195706
36,87,46,75,20,99,4.328327696
37,76,62,26,0,53,4.277738724
82,55,0,41,73,94,1.787145233
7,35,96,85,39,69,4.221984538
64,26,58,56,40,76,1.435021769
85,31,25,94,23,50,9.210902073
16,13,63,24,64,99,2.031584818
70,40,27,84,39,55,0.654939538
88,65,92,1,4,0,6.197544083
44,3,99,94,81,1,8.02357081
3,10,66,4,41,73,6.710716099
35,100,43,78,78,44,8.087999967
69,47,44,79,58,17,0.613424945
30,36,12,11,66,41,1.404236448
18,12,1,54,40,60,7.655479365
60,72,8,90,6,98,0.329572971
53,41,68,28,85,0,2.800797637
38,26,65,2,38,87,8.085785937
90,65,23,27,98,99,3.315979035
73,46,88,13,62,35,4.006338317
89,90,68,46,27,87,13.61015096
18,75,31,82,26,82,2.127279461
38,11,93,0,78,77,0.158032343
66,66,77,16,70,44,5.898145569
44,25,16,58,69,32,1.71559561
12,78,73,63,97,71,1.804090328
91,26,97,98,88,56,4.370342929
57,34,82,98,80,92,16.06838017
19,12,52,29,55,96,2.372511864
91,55,83,71,30,74,0.884301859
71,68,75,15,71,40,2.46672758
60,42,100,10,69,11,5.361701258
38,80,89,58,10,26,14.62435406
0,82,74,11,35,64,0.86906351
2,83,9,60,44,96,1.291694566
76,58,72,55,94,70,1.620594454
91,86,26,42,41,14,5.477335099
61,11,9,8,70,13,24
62,95,31,1,80,25,0.417939773
24,28,4,63,30,73,2.343992307
55,4,91,72,10,5,0.788268433
32,48,91,84,97,96,3.272612947
37,63,9,45,68,74,2.390758742
5,42,9,49,92,91,3.684002485
57,65,99,23,57,17,4.336582847
43,5,45,4,59,61,2.856273911
44,84,58,50,79,42,0.377802688
31,98,51,4,20,1,1.009582163
44,14,7,100,65,96,1.970438229
60,17,14,85,31,28,1.364086294
46,48,70,40,92,96,13.21055996
20,46,74,90,47,75,2.742120795
79,1,31,49,75,78,2.684790238
84,4,92,22,41,80,16.03760315
74,36,42,30,62,72,4.521377071
100,5,57,90,16,56,5.508951748
35,41,70,58,82,35,3.502273448
98,50,76,92,14,15,1.927178777
18,82,38,83,47,70,2.284591186
19,15,61,34,24,9,5.108073246
56,75,46,45,0,84,2.414813057
17,87,34,55,79,27,2.499931895
46,72,89,16,61,2,1.642307737
48,66,88,48,34,16,1.978860567
13,80,49,79,64,76,2.76566592
14,29,12,55,51,19,16.76232947
30,26,40,8,36,20,8.519315486
0,87,76,4,37,64,2.00807259
53,41,40,49,65,69,1.91281299
2,63,8,80,91,34,1.425955172
15,49,38,17,21,88,0.158863559
86,38,93,74,63,11,1.205611751
56,6,58,9,16,29,2.706506566
74,72,22,99,77,61,0.222237844
11,15,24,28,67,98,5.699981196
73,55,26,79,62,52,4.980832402
95,10,69,91,15,28,2.763284579
15,8,7,61,82,99,0.550256903
71,0,38,14,55,85,0.387411851
75,43,98,17,9,59,1.506984484
23,34,32,99,58,81,2.98439659
27,83,55,35,71,7,0.628008689
7,50,22,82,74,34,7.448538314
91,7,34,15,28,91,1.306880747
35,70,67,55,23,32,15.74070159
89,36,12,55,23,41,3.204125775
7,100,16,50,8,6,3.409547586
57,83,39,58,78,84,16.29363153
59,4,75,51,74,39,1.528721169
49,75,13,13,86,16,4.460640221
27,20,37,59,72,94,14.52690267
